NumeroContrato,HasDifferences,ValorAquisicao_Internal,ValorAquisicao_Fund,ValorAquisicao_Difference,ValorAquisicao_Diff_Percent
217989e7-87b2-4eb0-929f-d476ba4bc951,True,565958.27,565958.21,0.060000000055879354,1.0601489473203216e-05
2191be63-f84b-4020-9071-d0e93c696e29,True,166589.09999999995,166589.2,-0.10000000006402843,6.002790100680502e-05
21f46645-7605-4f6e-b0b5-6f55784feaf7,True,88845.70000000001,88898.38,-52.679999999993015,0.059258672655219384
22b2ca99-ca8c-4ca5-a167-33b1ee54d105,True,246.54,245.59,0.9499999999999886,0.386823567734838
2328b73f-086b-4d7e-a7eb-9448903b19f4,True,25963.93,25963.99,-0.06000000000130967,0.00023108928944014256
254907ee-aecd-4e8d-9641-0100e4824560,True,22741.86,22741.75,0.11000000000058208,0.00048369188826973334
25984e6c-c790-49fe-bd5e-ae5d9f851014,True,1883.8,1883.64,0.15999999999985448,0.00849419209614653
259fd997-531f-4c4c-9a52-8267aa28371c,True,2816.35,2830.25,-13.900000000000091,0.49112269234166916
25da178b-0a43-4e4e-bff4-793b1e88443f,True,239177.86000000004,239177.92,-0.05999999996856786,2.508592765108412e-05
25f72897-2e1c-4c8f-9733-6ceb51d2eae1,True,24832.700000000008,24832.65,0.05000000000654836,0.00020134782234899762
2602083a-0759-42d4-9ebf-2f3ae93660e1,True,92663.56,92663.64,-0.08000000000174623,8.633375507561134e-05
26c8c9a0-f5b9-4f44-95d6-1d5833e834bd,True,303700.4400000001,303700.5,-0.05999999988125637,1.9756305926811568e-05
26cc4573-0b8c-4b03-ab99-4296bd16e1f5,True,7879.070000000002,7879.14,-0.06999999999788997,0.0008884218328128448
26d9bc29-f6ae-4214-b036-7e030ffa9267,True,2766.42,2766.33,0.09000000000014552,0.0032534079448274618
274be6c9-920e-4494-a350-ab1f382bb2ec,True,7994423.129999995,7994423.2,-0.0700000049546361,8.756104499776306e-07
2772385b-d1aa-4ae7-a41f-41f65dd1078b,True,267442.44000000006,267442.5,-0.05999999993946403,2.2434728937795615e-05
2782d6a4-2936-45ea-be1c-815ab1e48dff,True,103551.11999999998,103551.17,-0.0500000000174623,4.8285306691814586e-05
27aae16b-4a90-4b4b-b4a0-d3c422bdd5ca,True,133022.44999999995,133022.51,-0.060000000055879354,4.510514803538089e-05
27fb99f3-b894-4052-a353-19942bc39462,True,212537.4199999999,212537.34,0.07999999989988282,3.764044468604097e-05
28b428b5-8e04-42cf-bce6-b9fc14b8d093,True,85395.00999999997,85395.08,-0.07000000003608875,8.19719356619711e-05
28da1e3b-6001-4dc3-8aec-323e4fdd1d82,True,1079.01,1082.82,-3.8099999999999454,0.3518590347426115
28df8cf6-66d7-4008-8ad7-7c6f73baaac6,True,1836.01,1829.44,6.569999999999936,0.35912629001224067
28df8e13-74ca-4e80-9a8f-7e965018fe72,True,233602.43000000005,233602.5,-0.06999999994877726,2.9965432711027178e-05
2935c1be-dcb5-4e8b-947a-6f02ec4e8455,True,333760.32999999996,333760.39,-0.060000000055879354,1.7976968464076684e-05
29980d13-3408-4fc8-acee-84ba264c25fc,True,171672.78999999998,171672.84,-0.0500000000174623,2.912516622749545e-05
29a8f808-7de0-487d-ac17-d5e7389ed4a8,True,44.41,44.53,-0.12000000000000455,0.26948124859646205
2a0874ef-4ee6-427e-949c-16ccefcc3531,True,29836.679999999997,29869.64,-32.960000000002765,0.11034615750307927
