NumeroContrato,ValorFace_Internal,ValorAquisicao_Internal,NumCessions,FundAlias,FundUserId,DataReferencia,CodCnpj,NomeFundo,CnpjSacado,NomeSacado,TipoProduto,TaxaCessao,ValorAquisicao_Fund,ValorPresente,ValorFace_Fund,DataAquisicao,DataVencimento,RatingContrato,DiasAtraso,ValorDesembolso,Bandeira,Banco,Agencia,Conta,Prazo,PrazoAtual,Reverse
985533c3-4a21-456a-b7e0-ff2eebcd8196,1478.1200000000001,1277.4,4,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,61186680000174,BANCO BMG S.A,CSC de arranjo de pagamento banco emissor confirmado,0.16196679644911,1277.4,1298.1113675583,1478.12,2025-04-22,2026-04-10,AA,0,1277.4,Mastercard,1,208,8630592,245,218,0.0
bff2d06b-3f51-4051-9a0e-ce83da3c3c90,2976.8,2943.29,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,18189547000142,CLOUDWALK INSTITUICAO DE PAGAMENTO E SERVICOS LTDA,CSC de arranjo de pagamento banco emissor confirmado,0.162009477448618,2943.29,2960.8795484957,2976.8,2025-05-16,2025-06-12,AA,0,2943.29,Mastercard,1,208,8630592,18,9,0.0
32e9a413-dc10-423b-83f1-e7f1a3f55822,32451.249999999996,31318.799999999992,12,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,8357240000150,BANCO CSF S/A,CSC de arranjo de pagamento banco emissor confirmado,0.160888557095116,31318.8,31729.3685745076,32451.25,2025-04-29,2025-07-24,AA,0,31318.8,Visa,1,208,8630592,60,38,0.0
64284572-e3d6-4fcc-a66d-274bc5f79106,2023.2799999999997,1788.73,6,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,4184779000101,BANCO BRADESCARD S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.162680262675971,1788.73,1802.6927459799,2023.28,2025-05-13,2026-03-05,AA,0,1788.73,Mastercard,1,208,8630592,206,193,0.0
cc574215-5563-4088-9ce3-d26689ae7837,1194.9099999999999,1180.7599999999998,7,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,19540550000121,ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S,CSC de arranjo de pagamento banco emissor confirmado,0.161948548826483,1180.76,1187.1066445483,1194.91,2025-05-19,2025-06-16,AA,0,1180.76,Elo,1,208,8630592,20,11,0.0
a1989ecd-74d5-4c29-b2d1-c7ae840a0f01,233.63,206.59000000000003,3,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,8357240000150,BANCO CSF S/A,CSC de arranjo de pagamento banco emissor confirmado,0.161534750756272,206.59,209.6818808261,233.63,2025-04-24,2026-02-18,AA,0,206.59,Visa,1,208,8630592,207,182,0.0
5a15be4c-cb37-4f14-86a5-8b2dacd7cfdd,34309.52,31773.329999999998,11,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,60746948000112,BANCO BRADESCO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.163219943391401,31773.32,32041.3257072515,34309.52,2025-05-12,2025-11-07,AA,0,31773.32,Elo,1,208,8630592,128,114,0.0
b0c383d7-722d-4c74-8ab6-e1abe03d3c71,48.39,41.82,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,17184037000110,BANCO MERCANTIL DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.160524783432337,41.82,42.2920528699,48.39,2025-05-05,2026-04-27,AA,0,41.82,Visa,1,208,8630592,247,228,0.0
de6b15f4-640e-4c7c-b00c-165fc60d7f65,139.68,136.71,2,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,60746948000112,BANCO BRADESCO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.162351823886436,136.71,137.6107372079,139.68,2025-05-15,2025-07-07,AA,0,136.71,Visa,1,208,8630592,36,25,0.0
ed389108-df0c-45e9-8fab-5ca4c93fcda9,12125.94,10590.03,5,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,1858774000110,BANCO BV S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.162240493622164,10590.03,10672.4870126019,12125.94,2025-05-13,2026-04-06,AA,0,10590.03,Visa,1,208,8630592,226,214,0.0
