id,internal_face_value,fund_face_value,internal_acquisition_value,fund_acquisition_value
08f445db-aeea-469d-a992-574c729edaa3,,,203440.70999999996,203440.68
08f8433a-0a36-40fe-9ffa-14034f26e20a,,,6412.84,6412.83
090663bc-a95b-4b6f-8263-1274b970135f,,,3590.94,3590.92
091bf89a-9ae8-4e60-a89c-8b954bb940f2,,,10185.59,10185.58
09266200-a30b-413b-b4f3-d52c5bd4b5bf,,,42444.939999999995,42444.92
092b9e18-3e94-4e4e-a009-d3f4ad790f50,,,25176.86,25176.84
0932a722-9357-4a49-952f-ea93559ad728,,,129025.62,129025.6
093ffd22-1abd-45ce-9b13-1a47c18d6a80,,,78295.78000000003,78295.8
094fb1c5-2580-4a15-b7f3-e01ccba17bd3,,,2179858.65,2179858.66
095fdfa9-bb52-4bbe-aefe-fb6e48dbf432,,,86250.20999999999,86250.22
096271b1-0768-44c8-aab8-4d32b87ffe4c,,,5860.8099999999995,5860.82
096443ef-eb70-458b-9b54-338feadcfc9e,,,13884.96,13884.95
0968da87-24f4-405e-bd11-a19434f4cf78,,,40998.119999999995,40998.14
0968e456-9e27-4817-b827-486487af4251,,,100246.91999999998,100246.93
096c507e-3ce1-4880-b311-507b348977d7,,,174543.71,174543.72
0978cf43-969a-4de0-af07-ca9ac708f33f,,,10832.760000000002,10832.75
0996334c-dad7-4215-be4e-6968a5d55574,,,1295953.9000000004,1295953.89
0996b6ec-b947-496e-a54f-0881cf187fc2,,,24108.51,24108.5
09aa7884-154e-4e27-af94-4ea85513fb5a,,,15238.42,15238.43
09c64b95-f53b-4fed-8c0d-e8ce865395f8,,,431444.63,431444.62
09cc42dd-fde6-4a2a-8a88-c08323238b3f,,,7590.44,7590.46
09cdc171-cdc3-4522-89a7-71377458512b,,,135367.19,135367.17
09cfc2f0-5a73-4386-abe4-ebd2146bab0b,,,53836.07,53836.03
09d4c91a-a7a7-488b-90fb-efe57f562051,,,269846.31999999995,269846.34
09d89962-0149-478f-8c8f-9601c1914a3a,,,6426.52,6426.51
09dbab90-0edc-4ad4-8efc-7a8b794008bd,,,66264.7,66264.71
09f2b409-bf8d-4982-b6df-629abb274eab,,,26299.370000000003,26299.39
0a1df16c-5cf1-41fb-9d60-c2c2798fda67,,,552794.1699999999,552794.18
0a2f63c2-6920-4db3-8421-e1917db0bdff,,,1352.92,1352.9
0a43a687-1678-4506-a7a4-22db893d7958,,,6556.04,6556.03
0a441580-b7b9-4f02-89a5-dc6ea95380f0,,,49985.64,49985.63
0a590359-64b7-4fbc-a8a5-c7095585a679,,,11369.070000000002,11369.05
0a5dce31-0021-4336-9391-3899e7d163bc,,,6152.45,6152.46
0a60e70e-8367-4abb-be43-3498829160bc,,,74955.97,74990.09
0a6312f1-ec2b-494b-88a7-3276a8588e92,,,1887.91,1887.92
